"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","notes","notes.2","X","X.1","X.2","wos"
"472","Ctenopoma acutirostre","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"473","Culaea inconstans ","Brook stickleback","stickleback","fish","","","","","Alberta","Yes","","","","","","yes","","",NA,NA,"yes","Washington","Crossman 1991, Therriault and Webb 2017","Therriault and Webb 2017","(Scholz et al. 2003; Wieker et al. 2016)","Import","forage species","Import",NA,"",9
"474","Cynoglossus microlepis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"475","Cyprinella lutrensis ","Red Shiner","Shiner","fish","","yes","no","","","","","yes","yes","","","","","",NA,NA,"","","Mandrak et al 2014","","Roy et al. 2018","","","",NA,"",36
"476","Cyprinus carpio ","Common carp, koi","carp","fish","","yes","yes","","","Yes","","yes","yes","","yes","","","",NA,NA,"yes","Washington","Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017","Feeken et al. 2019","","","",NA,"",874
"477","Danio albolineatus ","Pearl danio","danio","fish","","yes","no","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",0
"478","Danio choprai","Danio burmese glowlight","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",0
"479","Danio rario","Zebra danio","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",0
"480","Dermogenys pusilla ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"481","Dianema longibarbis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"482","Dianema urostriatum ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"483","Dormitator latifrons ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"484","Doryichthys boaja ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"485","Elassoma evergladei ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"486","Epiplatys annulatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"487","Erimyzon sucetta ","Lake chubsucker ","sucker","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",2
"488","Esox americanus ","Redfin pickerel ","pickerel","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",2
"489","Esox lucius","Northern Pike","Pike","fish","","yes","yes","","Yukon, Alberta","","","","","","","","","",NA,NA,"yes","Montana, Alaska, Alberta","Crossman 1991, BC Ministry List","DFO 2010 BC RA","Clancy and Bourret 2020, (Haught and von Hippel 2011; Sepulveda et al. 2013; Heins et al. 2016; Dunker et al. 2016, 2020; Cathcart et al. 2019, Sepulveda et al. 2018","Import","Authorized Introduction","",NA,"",191
"490","Exodon paradoxus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"491","Fundulopanchax filamentosus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"492","Fundulopanchax gardneri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"493","Fundulopanchax puerzli ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"494","Fundulopanchax sjostedti ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"495","Fundulopanchax walkeri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"496","Gambusia aflnis","Mosquitofish","Mosquitofish","fish","","","yes","","","","","yes","","","","","","yes",NA,NA,"","","Crossman 1991, Keller and Lodge, Mandrak et al. 2014","","","Exotic, not climate match to canada","Authorized Introduction, family climate match ","",NA,"",0
"497","Gambusia holbrooki ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",293
"498","Gasterosteus aculeatus","Three spined stickleback","stickleback","fish","","","","","","","","","","","","","","",NA,NA,"","","Crossman 1991","","","","Authorized Introduction","",NA,"",206
"499","Gastromyzon borneensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"500","Gobio gobio ","Gudgeon ","Gudgeon","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",97
"501","Gobiodon rivulatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"502","Gobioides broussonnetii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"503","Gymnocorymbus ternetzi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",4
"504","Gyrinocheilus aymonieri","Chinese algae-eater","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",0
"505","Hasemania nana ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"506","Hemibagrus nemurus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"507","Hemichromis sp.","Jewel cichlid","cichlid","fish","yes","","","","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",5
"508","Hemigrammus bleheri ","Firehead tetra","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",0
"509","Hemigrammus bleheri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"510","Hemigrammus erythrozonus ","Glowlight tetra","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"511","Hemigrammus gracilis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"512","Hemigrammus hyanuary ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"513","Hemigrammus ocellifer ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"514","Hemigrammus pulcher ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"515","Hemigrammus rhodostomus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"516","Hemigrammus rodwayi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"517","Hemigrammus ulreyi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"518","Heterandria formosa ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",11
"519","Hiodon alosoides","Goldeye","Goldeye","fish","","","","","Alberta","","","","","","","","","",NA,NA,"","","Crossman 1991","","","Import","Authorized Introduction","",NA,"",0
"520","Homaloptera ophiolepis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"521","Hoplocharax goethei ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"522","Hoplosternum littorale ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",15
"523","Hoplosternum thoracatum ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"524","Horabagrus brachysoma ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"525","Hyalobagrus ornatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"526","Hyphessobrycon amandae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"527","Hyphessobrycon anisitsi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"528","Hyphessobrycon axelrodi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"529","Hyphessobrycon bentosi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"530","Hyphessobrycon columbianus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"531","Hyphessobrycon ecuadoriensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"532","Hyphessobrycon eos ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"533","Hyphessobrycon eques ","Jewel tetra","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",5
"534","Hyphessobrycon erythrostigma ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"535","Hyphessobrycon flammeus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"536","Hyphessobrycon herbertaxelrodi ","Black neon tetra","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",1
"537","Hyphessobrycon loretoensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"538","Hyphessobrycon megalopterus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"539","Hyphessobrycon metae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"540","Hyphessobrycon pulchripinnis ","Lemon tetre","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"541","Hyphessobrycon pyrrhonotus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"542","Hyphessobrycon rosaceus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"543","Hyphessobrycon roseus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"544","Hyphessobrycon scholzei ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"545","Hyphessobrycon serpae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"546","Hyphessobrycon socolofi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"547","Hyphessobrycon sweglesi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"548","Hypophthalmichthys molitrix ","Silver carp ","carp","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017, DFO Canadawide RA","Roy et al. 2018","","","",NA,"",248
"549","Hypophthalmichthys nobilis ","Bighead carp ","carp","fish","","","","","","Yes","","","yes","","","","","",NA,NA,"","","Therriault and Webb 2017, Keller and Lodge 2007","Therriault and Webb 2017, DFO Canadawide RA","Roy et al. 2018","","","",NA,"",176
"550","Ichthyomyzon greeleyi ","Mountain brook lamprey ","lamprey","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",1
"551","Ictalurus furcatus ","Blue catfish","catfish","fish","","","no","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",52
"552","Ictalurus punctatus ","Channel catfish","catfish","fish","","yes","yes","","Idaho","","","yes","yes","","","","","",NA,NA,"","","Crossman 1991, Mandrak et al 2014","","","","","",NA,"",180
"553","Icthyomyzon gagei ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"554","Ictiobus cyprinellus ","Bigmouth buffalo","buffalo","fish","","yes","yes","","","","","yes","yes","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",13
"555","Inpaichthys kerri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"556","Jordanella floridae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",3
"557","Kribia kribensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"558","Kryptopterus bicirrhis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",2
"559","Kryptopterus cryptopterus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"560","Kryptopterus macrocephalus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"561","Kryptopterus minor ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"562","Ladigesia roloffi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"563","Lampetra ayresii ","Western river lamprey ","lamprey","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",2
"564","Lampetra fluviatilis ","River lamprey ","lamprey","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",19
"565","Lampetra pacifica ","Pacific brook lamprey ","lamprey","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",0
"566","Lates calcarifer","Barramundi or Asian sea bass","bass","fish","","","","","","","","","","","yes","","","",NA,NA,"","","DFO aquaculture liscence","","","","","",NA,"",36
"567","Lepidarchus adonis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"568","Lepidocephalichthys guntea ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"569","Lepidocephalus thermalis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"570","Lepisosteus oculatus ","Spotted gar","gar","fish","","yes","yes","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",6
"571","Lepisosteus osseus ","Longnose gar","gar","fish","","yes","yes","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",2
"572","Lepisosteus platyrhincus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"573","Lepomis cyanellus","Green sunfish","sunfish","fish","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","","Bonar et al. 2005","","","",NA,"",21
"574","Lepomis gibbosus","Pumpkinseed","sunfish","fish","","yes","yes","","USA","Yes","","","","","","","","",NA,NA,"yes","Montana, Washington","Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bonar et al. 2005","","Authorized Introduction, Released intentially by fish hobbyist, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)","spread of invasive",NA,"",242
"575","Lepomis gulosus","Warmouth","sunfish","fish","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","","Bonar et al. 2005","","","",NA,"",5
"576","Lepomis macrochirus ","Bluegill","sunfish","fish","yes","","","","","","","yes","","","","","","",NA,NA,"yes","Montana, Washington","Mandrak et al 2014, BC Ministry List","","Clancy and Bourret 2020, Bonar et al. 2005","","","",NA,"",155
"577","Lepomis megalotis ","Longear sunfish ","sunfish","fish","","yes","yes","","","","","yes","","","","","","",NA,NA,"yes","Montana","Mandrak et al 2014","","Clancy and Bourret 2020","","","",NA,"",2
"578","Leporinus fasciatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"579","Leporinus octofasciatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"580","Leptobotia guilinensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"581","Lethenteron alaskense ","Alaskan brook lamprey","lamprey","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",1
"582","Leuciscus idus ","ide","ide","fish","","yes","no","","","","","yes","yes","","","","","",NA,NA,"","","Mandrak et al 2014","","Roy et al. 2018","","","",NA,"",7
"583","Lota lota","burbot","burbot","fish","","","","","Northwest territories","","","","","","","","","",NA,NA,"","","Crossman 1991","","","","Authorized Introduction","",NA,"",40
"584","Megalechis thoracata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"585","Metynnis argenteus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"586","Metynnis hypsauchen ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"587","Metynnis lippincottianus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",2
"588","Metynnis maculatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",5
"589","Micropterus dolomieu","Smallmouth bass","bass","fish","","yes","yes","","","Yes","","","","","","","","",NA,NA,"yes","Montana","Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA, DFO Atlantic salmon RA","Clancy and Bourret 2020","","Authorized Introduction","",NA,"",150
"590","Micropterus salmoides ","Largemouth bass","bass","fish","","yes","yes","","USA","Yes","","yes","yes","","","","","",NA,NA,"yes","Montana, Idaho, Washington","Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List, Keller and Lodge 2007","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Braun and Walser 2011,Christensen and Moore 2010; Hawkins et al. 2020; Marsha et al. 2021, bonar et al. 2005","","","",NA,"",336
"591","Misgurnus anguillicaudatus ","Pond loach/ Oriental weatherfish","weatherfish","fish","","yes","yes","","","","","yes","yes","","","","","",NA,NA,"yes","Idaho, Washington","Mandrak et al 2014, BC Ministry List, Keller and Lodge 2007","","Urquhart and Koetsier 2014, Tabor et al. 2001, Roy et al. 2018","","","",NA,"",62
"592","Misgurnus fossilis ","weatherfish","weatherfish","fish","","yes","no","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",9
"593","Moenkhausia ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",6
"594","Moenkhausia oligolepis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"595","Moenkhausia pittieri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"596","Moenkhausia sanctaefilomenae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"597","Mogurnda adspersa ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",5
"598","Mogurnda mogurnda ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",11
"599","Monopterus albus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",14
"600","Morone mississippiensis","Yellow bass","bass","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",0
"601","Morone saxatilis ","Striped bass","bass","fish","","","yes","","","","","yes","yes","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",90
"602","Morone saxatilis x chrysops ","Wiper","Bass","fish","","","no","","","","","yes","yes","","","","","",NA,NA,"","","Mandrak et al 2014","","Roy et al. 2018","","","",NA,"",9
"603","Myleus schomburgkii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"604","Mylopharynghodon piceus","Black carp","carp","fish","","","","","","Yes","","","yes","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017, DFO Canadawide RA","Roy et al. 2018","","","",NA,"",0
"605","Myloplus rubripinnis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"606","Mylossoma aureum ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"607","Mystus leucophasis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"608","Mystus micracanthus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"609","Myxocyprinus asiaticus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"610","Nemacheilus fasciatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"611","Nematobrycon lacortei ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"612","Nematobrycon palmeri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"613","Neoceratodus forsteri","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",5
"614","Nomorhamphus liemi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"615","Notemigonus crysoleucas","golden shiner","shiner","fish","","","yes","","","","","yes","","","","","","yes",NA,NA,"yes","Washington","Keller and Lodge 2007","","Bonar et al. 2005","","","",NA,"",24
"616","Nothobranchius guentheri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"617","Nothobranchius rachovii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"618","Nothobranchius rubripinnis","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"619","Notropis hudsonius","Margined madtom or spottail shiner","shiner","fish","","yes","","yes","","","","maybe","","","","","","",NA,NA,"","","Crossman 1991, BC Ministry List","","","Exotic","Authorized Introduction","",NA,"",15
"620","Noturus albater ","Ozark madtom ","madtom","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",1
"621","Noturus elegans ","Elegant madtom ","madtom","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",0
"622","Odontamblyopus rubicundus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"623","Oncorhynchus aguabonita","Golden trout","salmonid","fish","","","","","","","","maybe","","","","","","",NA,NA,"","","Crossman 1991","","","Exotic","Authorized Introduction","",NA,"",4
"624","Oncorhynchus clarki lewisi x Oncorhynchus mykiss","Westslope cutthroat trout x rainbow trout hybrid","salmonid","fish","","","","","","","","","","","","","","",NA,NA,"","","Crossman 1991","","","","Authorized Introduction","",NA,"",2
