Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",exotic to NA,invasive in NA,globally invasive,Listed in publications,Risk assessment pubs,impact/other pubs,,,,,
Cyprinus carpio ,"Common carp, koi",carp,fish,,yes,yes,,,Yes,,yes,yes,,yes,,,,,,yes,Washington,yes,yes,yes,"Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, Therriault and Webb 2017, BC Ministry List",Therriault and Webb 2017,Feeken et al. 2019,,,,,
Danio albolineatus ,Pearl danio,danio,fish,,yes,no,,,,,yes,,,,,,,,,,,yes,no,no,Mandrak et al 2014,,,,,,,
Didymosphenia geminata,Didymo,diatom,phytoplankton,yes,,,yes,,,,,,,,,,,,,yes,"Washington, Alberta",no,yes,yes,BC Ministry List,,"Blinn 2015, Kirkwood et al. 2007, 2009",,,,,
Dracaena fragrans,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,1,
Dracaena sanderiana,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,4,
Dreissena bugensis ,Quagga Mussel ,mollusc,invertebrate,,,yes,,,,,,,,,,yes,,,,,,yes,yes,no,Schroeder et al. 2014,"Therriault et al. 2013, DFO Canadawide RA",,,,,,
Dreissena polymorpha ,Zebra Mussel ,mollusc,invertebrate,,,yes,,,,,,,,,,yes,,,,,,yes,yes,yes,Schroeder et al. 2014,"Therriault et al. 2013, DFO Canadawide RA",,,,,,
(Echinodorus bolivianus OR Echinodorus latifolius OR Echinodorus angustifolius OR Echinodorus quadricostatus),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,2,
Echinodorus cordifolius,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,1,
(Echinodorus grandiflorus OR Echinodorus muricatus),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,43,
(Echinodorus martii OR Echinodorus major),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,5,
(Echinodorus tenellus OR Helanthium tenellum),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,8,
(Echinodorus uruguayensis OR Echinodorus osiris OR Echinodorus barthii),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,5,
Egeria densa,Brazilian waterweed,waterweed,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,,,yes,Washington,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007, Cohen et al. 2007",,(Parsons et al. 2009; Tamayo and Olden 2014),,,,,
Egeria najas,Narrow leaf elodea (Planchon),elodea,aquatic plant,,,no,,,,yes,,,,,,,,,,yes,Alaska,yes,no,no?,"DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,"(Luizza et al. 2016; Carey et al. 2016; Sethi et al. 2017; Schwoerer et al. 2020b, 2020a)",,,,,
Eichhornia azurea ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,,9,
Elassoma evergladei ,,,fish,,,,,,,,,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,1,
Elimia livescens ,Liver Elimia ,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,no,yes?,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,
Erimyzon sucetta ,Lake chubsucker ,sucker,fish,,,,,,Yes,,,,,,,,,,,,,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Esox americanus ,Redfin pickerel ,pickerel,fish,,,,,,Yes,,,,,,,,,,,,,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Esox lucius,Northern Pike,Pike,fish,,yes,yes,,"Yukon, Alberta",,,,,,,,,,,,yes,"Montana, Alaska, Alberta",no,no?,yes,"Crossman 1991, BC Ministry List",DFO 2010 BC RA,"Clancy and Bourret 2020, (Haught and von Hippel 2011; Sepulveda et al. 2013; Heins et al. 2016; Dunker et al. 2016, 2020; Cathcart et al. 2019, Sepulveda et al. 2018",,,,,
Eucyclops serrulatus,,copepoda,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,3,
(Faxonius rusticus OR Orconectes rusticus),rusty crayfish,crayfish,invertebrate,,,yes,,,,,,,,,,,yes,,,,,no,yes,no,"Brown and Therriault, Keller and Lodge 2007",,,,,,,
(Faxonius virilis OR Orconectes virilis),Virile or Northern crayfish,crayfish,invertebrate,yes,,,,#NAME?,,,,,,,,,,,,yes,Washington,no,yes,no,Brown and Therriault,(Larson et al. 2010; Loffredo et al. 2019),,,,,,
Gambusia affinis,Mosquitofish,Mosquitofish,fish,,,yes,,,,,,,,,,,yes,,,,,no,yes,yes,"Crossman 1991, Keller and Lodge ",,,,,,,
Gambusia holbrooki ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,293,
Gasterosteus aculeatus,Three spined stickleback,stickleback,fish,,,,,,,,,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,
Glyceria declinata,Waxy mannagrass,mannagrass,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,,1,
Glyceria fluitans,Floating sweet-grass,grass,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,,1,
Glyceria maxima,Giant mannagrass,mannagrass,aquatic plant,yes,,yes,no,,,yes,,,,,,,,,,,,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,,,,,,
Gobio gobio ,Gudgeon ,Gudgeon,fish,,,,,,Yes,,,,,,,,,,,,,no,no,yes,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Gymnocoronis spilanthoides,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,,8,
Harpacticella paradoxa,,copepoda,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,yes,yes,no,,,Cordell et al. 2007,,,,,
Helisoma anceps ,Two-ridge Rams Horn ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,8,
(Helisoma trivolvis OR Planorella trivolvis),,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,382,
(Hemianthus callitrichoides OR Micranthemum umbrosum),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,1,
Hemichromis,Jewel cichlid (sp),cichlid,fish,yes,,,,,,,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
(Hemigraphis repanda OR Ruellia repanda),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,1,
Hemimysis anomala,Bloody red shrimp,shrimp,invertebrate,,,,,,,,,,,,,,,,,,,yes,yes,yes,,DFO Canadawide RA,,,,,,
Heterandria formosa ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,11,
Heteranthera zosterifolia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,1,
Hibiscus acetosella,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,1,
Hiodon alosoides,Goldeye,Goldeye,fish,,,,,Alberta,,,,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,
Hottonia palustris ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,2,
Houttuynia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,11,
Hydra,,,invertebrate,,,,,,,,yes,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,2,
Hydrocharis morsus-ranae,european frog-bit,,aquatic plant,,,yes,,,,yes,,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,,18,
Hydrocotyle,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,56,
(Hydrocotyle sibthorpioides OR Hydrocotyle maritima OR Hydrocotyle rotundifolia),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,30,
(Hygrophila angustifolia OR Hygrophila salicifolia),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,Moderately High,,,2,
Hygrophila corymbosa,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,1,
(Hygrophila difformis OR Synnema triflorum),water wisteria,(Blume) (syn. Synnema triflorum),aquatic plant,,,,,,,yes,,,,,,,,,,,,yes,yes,no,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,,,,,
Hygrophila polysperma ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,,10,
(Hygrophila stricta OR Nomaphylla stricta),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,4,
Hymenocallis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,2,
Hypophthalmichthys molitrix ,Silver carp ,carp,fish,,,,,,Yes,,,,,,,,,,,,,yes,yes,yes,Therriault and Webb 2017,"Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,,,,,
