Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",Listed in publications,Risk assessment pubs,impact/other pubs,notes,notes 2,,,
Salvelinus fontinalis x Salvelinus namaycush,Brook trout x lake trout hybrid ,hybrid,fish,,,,,,,,,,,,,,,,,,,Crossman 1991,,,,Authorized Introduction,,,
Salvelinus malma,Dolly varden trout,salmonid,fish,,,,,,,,,,,,,,,,,,,Crossman 1991,,,,Authorized Introduction,,,
Salvelinus namaycush ,Lake Trout,salmonid,fish,yes,,,yes,,,,,,,yes,,,,,,yes,"Montana, Alberta","DFO aquaculture liscence, BC Ministry List",,"Ellis et al. 2015, Clancy and Bourret 2020, Donald and Alger 1993",Montana,,,,
Salvelinus namaycush x Salvelinus malma or Salvelinus confluentus,Lake trout x dolly varden or bull trout,salmonid,fish,,,,,,,,,,,,,,,,,,,Crossman 1991,,,,Authorized Introduction,,,
Salvelinus trutta x Salvelinus namaycush,Splake,Splake,fish,yes,,,,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Sander canadensis ,Sauger ,Sauger,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Sander vitreus ,Walleye ,Walleye,fish,,yes,,yes,,No,,,,,,,,,,,yes,Montana,"Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO BC RA 2010",Clancy and Bourret 2020,,,,,
Sawbwa resplendens ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Schistura mahnerti ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Scleromystax barbatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Serrasalmus brandti ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Serrasalmus elongatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Serrasalmus manueli ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Serrasalmus niger ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Serrasalmus rhombeus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Serrasalmus striolatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Serrasalmus ternetzi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Sewellia lineolata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Silurus glanis ,Wels catfish,catfish,fish,,yes,no,,,,,yes,yes,,,,,,,,,,Mandrak et al 2014,,Roy et al. 2018,,,,,
Siniperca chuatsi ,Mandarin fish/Chinese perch,perch,fish,,,,,,,,yes,yes,,,,,,,,,,Mandrak et al 2014,,Roy et al. 2018,,,,,
Stigmatogobius sadanundio ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Stiphodon ornatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Stizostedion vitreum ,Walleye,Walleye,fish,,,,,,,,,,,,,,,,,,,Crossman 1991,,,,"Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)",,,
Sundadanio axelrodi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Syncrossus hymenophysa ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Tanichthys albonubes ,white cloudmountain minnow,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family climate match ,,,
Tateurndina ocellicauda ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Thayeria boehlkei ,Blackline penguinfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Thayeria obliqua ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Thymallus arcticus,Arctic grayling,grayling,fish,,,,,"Yukon, Alaska, Northwest Terrirtories",,,,,,,,,,,,,,Crossman 1991,,,Import,Authorized Introduction,,,
Tinca tinca,Tench,Tench,fish,yes,,,no,USA,,,,,,,,,,,,,,"Crossman 1991, BC Ministry List",,,,"Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)",spread of invasive,,
Trigonostigma espei ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Trigonostigma hengeli ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Trigonostigma heteromorpha ,Harlequin rasbora,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Trinectes maculatus ,,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family climate match ,,,
Tyttocharax cochui ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Umbra limi,Central Mud Minnow,Minnow,fish,,,,,,,,,,,,,,,,,yes,Montana,,,Clancy and Bourret 2020,,,,,
Xenentodon cancila ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Xiphophorus birchmanni ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Xiphophorus hellerii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Xiphophorus maculatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Xiphophorus spp,playfishes,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Xiphophorus spp,swordtails,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Xiphophorus variatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Xiphspkorus helleri,Green swordtail,swordtail,fish,,,,,,,,,,,,,,,,,,,Crossman 1991,,,Exotic,Authorized Introduction,,,
Yasuhikotakia lecontei ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Yasuhikotakia modesta ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Yasuhikotakia morleti ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Yasuhikotakia sidthimunki ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Saprolegnia parasitica,water mould,Ootmycetes,fungus,,,,,,,,,,,,,,,,,,,,,(de la Bastide et al. 2018),,,,,
Bellamya chinensis  OR Cipangopaludina chinensis,Chinese Mysterysnail ,mollusc,invertebrate,yes,,yes,no,,,,,,,,,,,,,yes,Washington,"Schroeder et al. 2014, BC Ministry List",,(Olden et al. 2009),considered benign,,,,
Bellamya japonica OR Cipangopaludina japonica,Japanese Mysterysnail ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,,,net fouler,,,,
Biomphalaria alexandrina ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Biomphalaria glabrata ,Bloodfluke Planorb ,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Biomphalaria pfeifferi ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Biomphalaria straminea ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Bithynia tentaculata ,Faucet Snail ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,,,yes,Montana,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,Sanland and Pierce 2021,Montana,,,,
Bulinus truncatus ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Capeloma decisum ,Pointed Campeloma ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,,,,,,,
Corbicula fluminea ,Asian Clam ,mollusc,invertebrate,yes,,yes,no,,,yes,,,,,,,,,,yes,Washington,"Schroeder et al. 2014, Keller 2007, BC Ministry List; Keller and Lodge 2007",,"Ricciardi 1998; Magara et al. 2001; Cataldo et al. 2012, Dexter et al. 2020, Holbrook et al. 2020, Phelps 1994",,,,,
Craspedacusta sowerbyi,Freshwater jellyfish,jellyfish,invertebrate,yes,,,no,,,,yes,,,,,,,,,,,"BC Ministry List, Duggan et al. 2018",,,on Vallisneria plants,,,,
Dreissena bugensis ,Quagga Mussel ,mollusc,invertebrate,,,yes,,,,,,,,,,yes,,,,,,Schroeder et al. 2014,"Therriault et al. 2013, DFO Canadawide RA",,,,,,
Dreissena polymorpha ,Zebra Mussel ,mollusc,invertebrate,,,yes,,,,,,,,,,yes,,,,,,Schroeder et al. 2014,"Therriault et al. 2013, DFO Canadawide RA",,,,,,
Elimia livescens ,Liver Elimia ,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,
Faxonius rusticus,rusty crayfish,crayfish,invertebrate,,,yes,,,,,,,,,,,yes,,,,,"Brown and Therriault, Keller and Lodge 2007",,,,,,,
Faxonius virilis,Virile or Northern crayfish,crayfish,invertebrate,yes,,,,,,,,,,,,,,,,yes,Washington,Brown and Therriault,(Larson et al. 2010; Loffredo et al. 2019),,,,,,
Fusconia flava ,Wabash Pigtoe ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Helisoma anceps ,Two-ridge Rams Horn ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Helisoma trivolvis OR Planorella trivolvis,,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Hemimysis anomala,Bloody red shrimp,shrimp,invertebrate,,,,,,,,,,,,,,,,,,,,DFO Canadawide RA,,,,,,
Hydra sp.,,,invertebrate,,,,,,,,yes,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Indoplanorbis exustus ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,
Lymnaea natalensis OR Radix natalensis,,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, Duggan et al. 2018",Schroeder et al. 2014,,on Sword plants,,,,
Lymnaea palustris Stagnicola palustris,,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018",Schroeder et al. 2014,,,,,,
Lymnaea peregra ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,
Lymnaea stagnalis ,,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Melanoides tuberculata ,"Malaysian Trumpet Snail, Red-rimmed Melania ",mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018",Schroeder et al. 2014,,on Sword plants,,,,
Mites,mites,mites,invertebrate,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Musculium lacustre ,Lake Fingernail Clam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Musculium partumeium ,Swamp Fingernail Clam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Mysis diluviana,Opossum shrimp,shrimp,invertebrate,,,,,,,,,,,,,,,,,yes,"Montana, Idaho, Washington",,,"Ellis et al 2011, Devlin et al. 2017, Caldwell et al. 2016, Schoen et al. 2015",,,,,
Mytilopsis leucophaeata,dark false mussel,mollusc,invertebrate,,,,,,,,,,,,,,,,,,,,"Therriault et al. 2013, DFO Canadawide RA",,,,,,
Nematoda,nematodes,nematodes,invertebrate,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Oligochaeta,annelida,annelida,invertebrate,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Pacificastus lenisculus,Signal crayfish,crayfish,invertebrate,yes,yes,yes,,,,,,,,yes,,,,,,yes,Washington,,"(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017), larson and olden 2013",,,,,,
Palaemon modestus,Siberian prawn,shrimp,invertebrate,,,,,,,,,,,,,,,,,yes,Washington,,,Erhardt and Tiffan 2016,,,,,
Pectinatella magnifica,Freshwater bryozoan,bryozoan,invertebrate,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Physa acuta ,European Physa ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, Duggan et al. 2018",Schroeder et al. 2014,,on sword plants and Vallisneria plants,,,,
Physa fontinalis ,Common Bladder Snail ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Pisidium amnicum ,Greater European Peaclam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Pisidium corneum OR Sphaerium corneum ,European Fingernail Clam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,Mackie 1976; Mackie 2000,parasite host,,,,
Pisidium henslowanum ,Henslow Peaclam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Pisidium moitesserianum ,Pygmy Peaclam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Pisidium supinuum ,Humpbacked Peaclam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,,
Planorbidae,,mollusc,invertebrate,,,,,,,,yes,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Platyhelminthes,Platyhelmenthes,Platyhelmenthes,invertebrate,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants ,,,,
Plumatella,bryozoan,bryozoan,invertebrate,,,,,,,,yes,,,,,,,,,,,Duggan et al. 2018,,,on sword plants,,,,
Pomacea bridgesi ,"Apple Snail, Spiketop Apple Snail, Golden Mystery Snail ",mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,
Pomacea canaliculata ,Golden/Channelled Apple Snail ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,
Pomacea haustrum ,Titan Apple Snail ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,
Pomacea insularum ,Island Apple Snail ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,
Potamopyrgus antipodarum ,New Zealand Mudsnail ,mollusc,invertebrate,yes,,yes,no,,,,,,,,,,,,,yes,"Idaho, Washington","Schroeder et al. 2014, BC Ministry List","Therriault et al. 2011, DFO Canadawide RA",(Richards et al. 2001; Kistner and Dybdahl 2014) (Paolucci and Thuesen 2020),,,,,
Promcambarus clarkii,Red Swamp crayfish,crayfish,invertebrate,,,yes,,,,,,,yes,,,,,,,yes,Washington,"Brown and Therriault, Keller and Lodge 2007",(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017),,,,,,
Radix auricularia ,"European Ear Snail, Big-eared Radix ",mollusc,invertebrate,,,yes,,,,,,,,,,,,,,yes,Washington,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,Larson et al. 2018,,,,,
Tardigrada,tardigrade,tardigrade,invertebrate,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,,,
Tarebia granifera OR Thiara granifera ,Quilted Melania ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Valvata piscinalis ,European Stream Valvata ,mollusc,invertebrate,,,yes,,,,,,,,,,,,,,,,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,,,,,,
Lepeophtheirus salmonis,sea lice,copepod,parasite,,,,,,,,,,,,,,,,,,,,,,"concern that it could evolve freshwater tolerance Groner et al. 2019, Ljungfeldt et al. 2017",,,,
Myxobolus cerebralis ,Whirling disease parasite,cndaria,parasite,,,,,,,,,,,,,,,,,yes,"Montana, Alaska",,,"Carim et al. 2015; Murcia et al. 2015, Gates et al. 2009, (Arsan and Bartholomew 2008)",,,,,
Didymosphenia geminata,Didymo,diatom,phytoplankton,yes,,,yes,,,,,,,,,,,,,yes,"Washington, Alberta",BC Ministry List,,"Blinn 2015, Kirkwood et al. 2007, 2009",,,,,
Agapanthus africanus ,lily of the Nile,,plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Chelydra serpentina serpentina,Eastern snapping turtle,turtle,reptile,yes,,,yes,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Trachemys scripta,Slider,Slider,reptile,yes,yes,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
piscine orthoreovirus,piscine orthoreovirus (PRV-1),,virus,,,,,,,,,,,yes,,,,,,,,,,,,,,,
Viral hemorrhagic septicemia virus ,Viral hemorrhagic septicemia virus (VHSV),,virus,,,,,,,,,,,yes,,,,,,,,,,,,,,,
Alona gutatta,,cladocera,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Bosmina coregoni,,cladocera,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,,Lee et al. 2016,,,,,,
Cephalodella gibba,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Cephalodella hoodi,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,,,
Colurella uncinata,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,,,
Cupelopagis vorax,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Dicranophorus epicharis,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Dunhevedia crassa,,cladocera,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Sword plants,,,,
Eucyclops serrulatus,,copepoda,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Harpacticella paradoxa,,copepoda,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,,,Cordell et al. 2007,,,,,
Lane hamata,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Lecane bulla,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Lecane closterocerca,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Lecane flexilis,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Lecane monostyla,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,,,
Lecane pyriformis,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,,,
Lecane stichea,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Lepadella ovalis,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Lepadella patella,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Sword plants,,,,
Limnoithona tetraspina,,copepoda,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,,,Cordell et al. 2008,,,,,
Microcyclops rubellus,,copepoda,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Sword plants,,,,
Nitokra pietshmanni,,copepoda,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Notommata tripus,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,,,
Ostracoda,,Ostracoda,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Phyllognathopus vigueri,,copepoda,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Sword plants,,,,
Proales,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Sword plants,,,,
Pseudodiaptomus forbesi,,copepoda,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,,,"Dexter et al. 2020, Lee et al. 2016, Cordell et al. 2008",,,,,
Pseudodiaptomus inopinus,,copepoda,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,,,Cordell et al. 2008,,,,,
Ptygura,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,,,
Schizopera,,copepoda,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,,,
Sinocalanus doerrii,,copepoda,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,,,Cordell et al. 2008,,,,,
Trichocerca,,rotifer,zooplankton,,,,,,,yes,,,,,,,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,,,
